"file","MP","Ftrgt","Btrigger","period","risk","SSB","Fbar","Catch","Fbar.1","SSB_rel","Catch_rel","Fbar_rel","ICV"
"mp_0.1_5000.rds","ICES_SAM",0.1,5000,"all",0.126857142857143,8297.16925052925,0.0932065536119616,856,0.0932065536119616,1.6182155285332,0.7127974728349,0.397222452272062,0.102420856605955
"mp_0.1_5200.rds","ICES_SAM",0.1,5200,"long-term",0.000285714285714286,9489.61768941993,0.097120356980887,1006.99999999775,0.097120356980887,1.8230354163697,0.831063498213304,0.415033225150951,0.0794496888779036
"mp_0.1_5200.rds","ICES_SAM",0.1,5200,"short-term",0.126857142857143,7239.20933134174,0.088292735921768,716.999999999104,0.088292735921768,1.42749646018078,0.594499659202621,0.373519017216225,0.145812376153594
"mp_0.1_5200.rds","ICES_SAM",0.1,5200,"all",0.126857142857143,8311.36671348484,0.0928985416578498,858.999999999884,0.0928985416578498,1.62172189710418,0.71459142116241,0.395373798482291,0.103671706299695
"mp_0.1_5500.rds","ICES_SAM",0.1,5500,"long-term",0.000285714285714286,9500.13705228156,0.0969482539091184,1007.99999999971,0.0969482539091184,1.82589248300576,0.831750665520169,0.414244171484495,0.0805822910063866
"mp_0.1_5500.rds","ICES_SAM",0.1,5500,"short-term",0.126857142857143,7277.74600106215,0.0872956381411247,722.999999999901,0.0872956381411247,1.43571156935206,0.597838940923383,0.366969463137749,0.150208622859714
"mp_0.1_5500.rds","ICES_SAM",0.1,5500,"all",0.126857142857143,8336.34629723544,0.0923723671032085,862.999999998333,0.0923723671032085,1.62779901168911,0.71770832180608,0.391975009637956,0.105499919018522
"mp_0.1_5800.rds","ICES_SAM",0.1,5800,"long-term",0.000285714285714286,9515.06054846531,0.0967603365843273,1009.99999999331,0.0967603365843273,1.82988272222511,0.833385366997151,0.41312151213157,0.0814948609963267
"mp_0.1_5800.rds","ICES_SAM",0.1,5800,"short-term",0.126857142857143,7319.29523445192,0.0861697159450519,726.999999999943,0.0861697159450519,1.44386202264164,0.598738246057043,0.360301920151749,0.154622492603696
"mp_0.1_5800.rds","ICES_SAM",0.1,5800,"all",0.126857142857143,8363.60707102082,0.0918345980989507,866.999999953567,0.0918345980989507,1.63357565210999,0.720731201016627,0.388579021345632,0.107404719475119
"mp_0.1_6000.rds","ICES_SAM",0.1,6000,"long-term",0.000285714285714286,9524.51008249876,0.096591605371588,1010.99999999895,0.096591605371588,1.83191232890752,0.834518052051781,0.412025572138066,0.0824928513449628
"mp_0.1_6000.rds","ICES_SAM",0.1,6000,"short-term",0.126857142857143,7348.61694754083,0.0853344935419249,727.99999986493,0.0853344935419249,1.44935348591873,0.598072599083545,0.355892519730837,0.157894736842134
